ticker,report_date,reaction_date,reaction_pct,base_price,drift_end_date,drift_end_price,drift_pct,confidence,included,notes
NFLX,2026-01-20,2026-01-21,-8.1,88.20,2026-02-20,80.10,-9.2,medium-low,1,"Base/end estimated: Jan1~$94.2 (down 22.1% YTD anchor); Feb +15.3% month but final 5 days +26.6% (WBD bid dropped) so Feb-20 was still ~-9% below month start. Drift reversed sharply after day ~33."
MSFT,2026-01-28,2026-01-29,-10.0,433.50,2026-02-27,391.89,-9.6,high,1,"Largest single-day $ loss in MSFT history ($357B). Feb close exact (StatMuse). Continued down: Q1-2026 was MSFT's worst quarter since 2008 (-25%)."
META,2026-01-28,2026-01-29,9.0,691.00,2026-02-27,627.00,-9.3,medium,1,"+9% pop on Q4 beat (+$150B mkt cap). Base/end derived from Feb avg $658.56 and Feb month return -9.3% (StatMuse). Reversal during Feb AI-capex selloff."
TSLA,2026-01-28,2026-01-29,3.5,430.41,2026-02-27,410.00,-4.7,medium,1,"Reaction +3.47% (beat; AH swung -3.5% to +4.7%). Base = Jan 30 close $430.41. End est from Feb 19 close $407.50 and Feb 25 trades $412-419."
AAPL,2026-01-29,2026-01-30,0.46,259.48,2026-03-02,263.94,1.7,high,1,"Record iPhone quarter; muted +0.46% reaction. End = Feb 27 close $263.94 (Feb +1.7%, StatMuse). Weak signal both legs."
AMZN,2026-02-05,2026-02-06,-8.0,220.00,2026-03-09,205.00,-6.8,medium-low,1,"-8% on $200B capex guide + EPS miss. Base est: Jan-end ~$238.5 x 0.92. Feb 27 close $210 (Feb -11.9%, StatMuse); Mar 9 est below $210 as correction continued to late-Mar bottom."
NVDA,2026-02-25,2026-02-26,-5.46,177.00,2026-03-27,165.20,-6.7,medium-high,1,"Beat + strong guide, still -5.46% ($260B erased). Feb 27 close exact $176.97. End derived: NVDA +42.7% Mar 30 -> May 14 ATH $235.74 => Mar 30 ~ $165.2."
AVGO,2026-03-04,2026-03-05,4.0,370.00,2026-04-06,390.00,5.4,low,1,"+4-5% on AI rev +106%. Base est from ~$353 on Mar 2 (+36% Mar 2 -> Jun 2 ATH fit). Day-30 point not directly observed; crossed $2T at record ~$422 on Apr 22. Possible late-March dip not captured; flagged low confidence."
JPM,2026-01-13,2026-01-13,0.2,326.00,2026-02-12,,,low,0,"EXCLUDED: reaction ~flat (muted; +0.25% premarket; options implied 3.75% move). |reaction| < 1% threshold - no direction signal."
GOOGL,2026-02-04,2026-02-05,0.0,330.00,2026-03-06,,,medium,0,"EXCLUDED: closed flat on Feb 5 (premkt -2.6% recovered; CNBC 'shares close flat'). |reaction| < 1% threshold. Stock then fell to ~$291 by Mar 31 in the AI-capex correction."
JPM,2026-04-14,2026-04-14,-0.8,309.73,2026-05-14,,,low,0,"EXCLUDED: -0.8% on NII guidance trim. |reaction| < 1% threshold - no direction signal."
NFLX,2026-04-16,2026-04-17,-9.0,98.00,2026-05-18,85.00,-13.3,medium,1,"Fell ~9-10% (post-split px): $107.99 -> ~$98 on margin guide + Hastings board exit. Slid steadily after: H1-2026 -24% => Jun 30 ~$71.6; May 18 est ~$85."
TSLA,2026-04-22,2026-04-23,-3.56,373.60,2026-05-22,425.00,13.8,medium-high,1,"AH +4% reversed to -3.56% close $373.60 (exact, Fool) on capex raise. Then rallied hard: ~$423 May 12 (after '28% one-month rally'), $433.45 late May. Strong reversal."
GOOGL,2026-04-29,2026-04-30,9.96,384.80,2026-05-29,396.00,2.9,medium,1,"+9.96% to $384.80 (exact) on huge Q1 beat (EPS $5.11 vs $2.62 est). ATH close $402.38 May 13; held $390-400 range late May. Continuation."
MSFT,2026-04-29,2026-04-30,-4.0,408.00,2026-05-29,413.00,1.2,medium-low,1,"-4% to ~$408 on FY26 capex guide ~$190B. May chopped higher: ~$410 mid-May, $425.24 May 19, ~$413 est late May. Weak reversal at day 30 (June then broke down to $373.02 Jun 30 - matched at 60d)."
META,2026-04-29,2026-04-30,-8.55,606.00,2026-05-29,635.26,4.8,medium-high,1,"-8.55% on capex raise to $125-145B. May 29 close $635.26 (exact). Reversal."
AMZN,2026-04-29,2026-04-30,2.1,260.00,2026-05-29,270.64,4.1,medium,1,"Modest +0.8 to +2.1% close after Q1 beat (AWS +28%). May 31 close $270.64 (StatMuse, exact). Continuation up."
AAPL,2026-04-30,2026-05-01,1.5,248.91,2026-06-01,270.00,8.5,medium,1,"+1.5% to $248.91 (May 1) on record March qtr + $100B buyback. Rallied through May-June: $294.30 Jun 23 (exact); Jun 1 est ~$270. Continuation up."
NVDA,2026-05-20,2026-05-21,-1.4,218.00,2026-06-22,200.00,-8.3,medium,1,"4th straight post-earnings slide despite record $81.6B rev. May 22 traded ~$218.13 (flat Friday). Jun 26 close $195.74 (exact); Jun 22 est ~$200. Continuation down."
AVGO,2026-06-03,2026-06-04,-15.0,409.00,2026-07-06,390.00,-4.6,medium,1,"-15% (no AI guide raise; Google multi-supplier comment) from ATH close $480.77 Jun 2. Slide continued >20% below peak; Jul 23 close $392.47; Jul 6 est ~$390. Continuation down."
